Warning_Category,Warning_Strength ,Impacted_System,Original_Message,Simplified_Message,Combined_Message
G,1,Power systems,Weak power grid fluctuations can occur,Power grid might be affected,"The power grid and satellites might be affected, and auroras could be visible in northern areas."
G,1,Spacecraft operations,Minor impact on satellite operations possible,Satellites might be affected,
G,1,Other systems,Migratory animals are affected at this and higher levels; aurora is commonly visible at high latitudes (northern Michigan and Maine).,Auroras might be visible in northern areas ,
G,2,Power systems,"High-latitude power systems may experience voltage alarms, long-duration storms may cause transformer damage.","Power systems in far northern areas might have voltage problems, and long storms can damage power station equipment ","Power systems in northern areas might have voltage issues and equipment could be damaged by storms. Satellites may need direction adjustments. HF radio signals might weaken, and northern lights could be seen as far south as New York and Idaho."
G,2,Spacecraft operations,Corrective actions to orientation may be required by ground control; possible changes in drag affect orbit predictions,Ground control might need to fix the satellite’s direction; changes in air resistance can affect its path.,
G,2,Other systems,"HF radio propagation can fade at higher latitudes, and aurora has been seen as low as New York and Idaho (typically 55° geomagnetic lat.)",High-frequency (HF) radio signals may get weaker in far northern areas and northern lights might be visible as far south as New York and Idaho,
G,3,Power systems,"Voltage corrections may be required, false alarms triggered on some protection devices.","Power systems might need voltage fixes, and some power grid safety devices could go off by mistake","Power systems may need voltage fixes, and some safety devices could trigger by mistake. Satellites might build up charge, face more drag, and need direction adjustments. Radio signals could cut in and out, and northern lights might be visible as far south as Illinois and Oregon."
G,3,Spacecraft operations,"Surface charging may occur on satellite components, drag may increase on low-Earth-orbit satellites, and corrections may be needed for orientation problems.","Satellites might build up electric charge, feel more drag, and need fixes to stay pointed the right way",
G,3,Other systems,"Intermittent satellite navigation and low-frequency radio navigation problems may occur, HF radio may be intermittent, and aurora has been seen as low as Illinois and Oregon (typically 50° geomagnetic lat.).",Satellite and low-frequency radio signals might cut in and out. HF radio may also stop and start. Northern lights may be seen as far south as Illinois and Oregon.,
G,4,Power systems,Possible widespread voltage control problems and some protective systems will mistakenly trip out key assets from the grid,"There could be major voltage control issues, and some safety systems might mistakenly shut down important parts of the power grid.","There could be voltage control issues, with safety systems mistakenly shutting down parts of the power grid. Satellites might build up charge, have tracking problems, and need direction adjustments. Pipeline currents may occur, HF radio signals could be unstable, satellite navigation might stop for hours, low-frequency radio could be interrupted, and the northern lights might be visible as far south as Alabama and California."
G,4,Spacecraft operations,"May experience surface charging and tracking problems, corrections may be needed for orientation problems.","Satellites might build up charge on the surface and have tracking issues, and fixes may be needed to correct its direction",
G,4,Other systems,"Induced pipeline currents affect preventive measures, HF radio propagation sporadic, satellite navigation degraded for hours, low-frequency radio navigation disrupted, and aurora has been seen as low as Alabama and northern California (typically 45° geomagnetic lat.)","Pipeline currents can interfere with safety measures, HF radio signals are unstable, satellite navigation might stop for hours, low-frequency radio navigation can be interrupted, and auroras have been seen as far south as Alabama and northern California.",
G,5,Power systems,"Widespread voltage control problems and protective system problems can occur, some grid systems may experience complete collapse or blackouts. Transformers may experience damage.","There could be major voltage and safety system issues, causing some power grids to fail or blackout. Transformers might get damaged","There could be major voltage issues, causing power grids to fail and transformers to get damaged. Satellites might have surface charging, direction problems, and signal issues. Pipeline currents can be strong, HF radio may not work for one to two days, satellite navigation could be affected for days, low-frequency radio may be down for hours, and the northern lights might be visible as far south as Florida and southern Texas."
G,5,Spacecraft operations,"May experience extensive surface charging, problems with orientation, uplink/downlink and tracking satellites","There may be heavy surface charging, issues with direction, and problems sending/receiving signals and tracking satellites.",
G,5,Other systems,"Pipeline currents can reach hundreds of amps, HF (high frequency) radio propagation may be impossible in many areas for one to two days, satellite navigation may be degraded for days, low-frequency radio navigation can be out for hours, and aurora has been seen as low as Florida and southern Texas (typically 40° geomagnetic lat.).","Pipeline currents can be very strong, HF radio signals may not work in many areas for one to two days, satellite navigation could be affected for days, low-frequency radio navigation might be down for hours, and auroras have been seen as far south as Florida and southern Texas",
R,1,HF Radio,"Weak or minor degradation of HF radio communication on sunlit side, occasional loss of radio contact.",HF radio communication may be weak or cut out sometimes on the sunlit side of the Earth.,HF radio communication and low-frequency navigation signals may occasionally cut out on the sunlit side of Earth
R,1,Navigaton,Low-frequency navigation signals degraded for brief intervals.,Low-frequency navigation signals may stop working for short periods.,
R,2,HF Radio,"Limited blackout of HF radio communication on sunlit side, loss of radio contact for tens of minutes",HF radio communication may be briefly lost on the sunlit side for several minutes,HF radio communication and low-frequency navigation signals may be weak or lost for several minutes on the sunlit side of the Earth.
R,2,Navigaton,Degradation of low-frequency navigation signals for tens of minutes.,Low-frequency navigation signals may be weak for several minutes,
R,3,HF Radio,"Wide area blackout of HF radio communication, loss of radio contact for about an hour on sunlit side of Earth.",HF radio communication may be lost for about an hour on the sunlit side of Earth.,HF radio communication and low-frequency navigation signals may be weak or lost for about an hour on the sunlit side of Earth
R,3,Navigaton,Low-frequency navigation signals degraded for about an hour.,Low-frequency navigation signals may be weak for about an hour.,
R,4,HF Radio,HF radio communication blackout on most of the sunlit side of Earth for one to two hours. HF radio contact lost during this time.,HF radio communication may be completely lost on most of the sunlit side of Earth for one to two hours,"HF radio communication, low-frequency navigation signals, and satellite navigation may be disrupted on the sunlit side of Earth for one to two hours, causing positioning errors"
R,4,Navigaton,Outages of low-frequency navigation signals cause increased error in positioning for one to two hours. Minor disruptions of satellite navigation possible on the sunlit side of Earth.,"Low-frequency navigation signals may be down for one to two hours, causing more positioning errors. Satellite navigation on the sunlit side of Earth may have minor disruptions.",
R,5,HF Radio,Complete HF (high frequency) radio blackout on the entire sunlit side of the Earth lasting for a number of hours. This results in no HF radio contact with mariners and en route aviators in this sector.,"HF radio communication may be completely lost on the sunlit side of Earth for several hours, preventing contact with ships and planes in that area","HF radio communication and low-frequency navigation signals may be lost on the sunlit side of Earth for several hours, disrupting contact with ships and planes and causing positioning errors. Satellite navigation may also experience increased errors, which could affect the night side as well."
R,5,Navigaton,"Low-frequency navigation signals used by maritime and general aviation systems experience outages on the sunlit side of the Earth for many hours, causing loss in positioning. Increased satellite navigation errors in positioning for several hours on the sunlit side of Earth, which may spread into the night side.","Low-frequency navigation signals used by maritime and general aviation systems experience outages on the sunlit side of the Earth for many hours, causing loss in positioning. Increased satellite navigation errors in positioning for several hours on the sunlit side of Earth, which may spread into the night side.",
S,1,Satellite operations,None,,HF radio communications may have small issues in polar regions
S,1,Other systems,Minor impacts on HF radio in the polar regions,HF radio communications may have small issues in polar regions,
S,2,Satellite operations,Infrequent single-event upsets possible,Satellite operations may experience occasional small disruptions.,"Satellite operations may have small disruptions, and HF radio signals and navigation in the polar regions could be slightly affected"
S,2,Other systems,"HF radio signals may be slightly affected in the polar regions, and navigation at the poles could be impacted.","HF radio signals may be slightly affected in far northern areas, and navigation at the poles could be impacted.",
S,3,Satellite operations,"Single-event upsets, noise in imaging systems, and slight reduction of efficiency in solar panel are likely.","Satellites may have small problems, like noise in images and a slight drop in solar panel power.","Satellites may have small issues, like noisy images and lower solar panel power. HF radio signals in polar regions may be weak, and navigation errors are likely."
S,3,Other systems,Degraded HF radio propagation through the polar regions and navigation position errors likely.,"HF radio signals in polar regions may be weak, and navigation position errors are likely.",
S,4,Satellite operations,"May experience memory device problems and noise on imaging systems; star-tracker problems may cause orientation problems, and solar panel efficiency can be degraded.","Satellites may have memory issues, noise in images, orientation problems, and reduced solar panel efficiency","Satellites may have memory issues, noisy images, orientation problems, and lower solar panel efficiency. HF radio communication in polar regions may be lost, and navigation errors happen for several days"
S,4,Other systems,Blackout of HF radio communications through the polar regions and increased navigation errors over several days are likely.,"HF radio communication in polar regions may be lost, and navigation errors could increase for several days",
S,5,Satellite operations,"May experience memory device problems and noise on imaging systems; star-tracker problems may cause orientation problems, and solar panel efficiency can be degraded.","Satellites may stop working, memory issues could cause control loss, image data may be noisy, star-trackers may fail, and solar panels could be permanently damaged","Satellites may stop working, have memory issues, noisy image data, star-tracker failures, and possible solar panel damage. HF communication may be lost in the polar regions, making navigation very difficult due to position errors."
S,5,Other systems,Blackout of HF radio communications through the polar regions and increased navigation errors over several days are likely.,"HF communication may be completely lost in the polar regions, and navigation will be very difficult due to position errors",
